client_id,variation,count_confirm,count_start,count_step_1,count_step_2,count_step_3,time_confirm,time_start,time_step_1,time_step_2,time_step_3,start_count,Atrás,process_duration,completed
329062,test,1,1,1,1,1,5.45,0.0,0.12,0.43,1.02,1,0,0 days 00:07:01,True
329574,test,1,1,1,1,1,0.37,0.0,0.15,0.7,0.85,1,0,0 days 00:02:04,True
329631,control,1,1,1,1,1,0.98,0.0,0.42,0.17,0.97,1,0,0 days 00:02:32,True
329693,control,1,5,4,3,3,0.45,99130.95,0.8,0.5,2.43,5,3,68 days 20:15:08,True
329730,test,1,3,1,1,1,0.65,4.43,18.3,0.25,0.53,3,0,0 days 00:24:10,True
330024,control,1,3,1,1,1,4.53,9.12,0.12,0.12,0.37,3,0,0 days 00:14:15,True
330035,test,1,1,1,1,1,0.93,0.0,0.43,0.1,1.33,1,0,0 days 00:02:48,True
330243,control,0,1,1,0,0,0.0,0.0,0.08,0.0,0.0,1,0,0 days 00:00:00,False
330666,control,1,1,1,1,1,3.58,0.0,0.37,1.02,1.47,1,0,0 days 00:06:26,True
331139,test,1,1,1,1,1,1.05,0.0,0.17,0.63,1.05,1,0,0 days 00:02:54,True
331166,test,0,1,1,0,0,0.0,0.0,0.13,0.0,0.0,1,0,0 days 00:00:00,False
331379,control,1,6,8,5,5,2.03,26351.88,6.4,1.95,2.45,6,5,18 days 07:24:43,True
331795,control,1,1,1,1,1,3.2,0.0,0.97,1.95,1.33,1,0,0 days 00:07:27,True
332073,control,1,1,1,1,1,18.62,0.0,1.63,1.08,1.12,1,0,0 days 00:22:27,True
332101,test,1,1,1,1,1,0.38,0.0,0.17,0.1,1.35,1,0,0 days 00:02:00,True
332121,control,0,1,1,1,1,0.0,0.0,0.6,0.28,1.73,1,0,0 days 00:00:00,False
332287,test,3,3,1,1,1,5316.92,289.57,0.17,0.62,0.5,3,0,3 days 21:27:46,True
332658,test,2,1,1,1,1,5.25,0.0,0.12,1.28,0.45,1,0,0 days 00:07:06,True
333023,test,1,1,1,1,1,0.7,0.0,0.15,0.28,0.52,1,0,0 days 00:01:39,True
333321,test,0,2,4,3,0,0.0,8.47,18.0,0.72,0.0,2,3,0 days 00:00:00,False
333392,test,1,1,1,1,1,1.33,0.0,2.28,0.32,1.77,1,0,0 days 00:05:42,True
333744,test,0,3,2,2,2,0.0,0.42,2.32,0.35,4.87,3,4,0 days 00:00:00,False
334181,test,4,4,3,1,1,11669.1,2650.63,2.38,0.57,1.25,4,2,9 days 22:43:56,True
334242,test,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0 days 00:00:00,False
334362,test,0,1,1,1,0,0.0,0.0,0.08,0.2,0.0,1,0,0 days 00:00:00,False
334785,test,0,5,0,0,0,0.0,47277.27,0.0,0.0,0.0,5,0,0 days 00:00:00,False
334941,control,1,3,3,1,1,0.97,178.43,0.85,0.1,1.0,3,2,0 days 00:02:26,True
335080,control,1,1,1,1,1,4.4,0.0,0.58,1.75,1.53,1,0,0 days 00:08:16,True
335335,test,1,1,1,1,1,2.4,0.0,0.13,0.48,1.67,1,0,0 days 00:04:41,True
335389,control,1,1,1,1,1,1.8,0.0,0.25,1.85,2.55,1,0,0 days 00:06:27,True
335786,test,0,5,1,1,1,0.0,37344.6,0.28,3.63,2.65,5,1,0 days 00:00:00,False
335913,test,0,3,2,1,0,0.0,4.82,4.2,0.08,0.0,3,2,0 days 00:00:00,False
335950,control,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0 days 00:00:00,False
336166,control,1,2,1,2,2,7.05,5693.83,1.22,1.9,1.58,2,2,0 days 00:11:45,True
336203,control,1,2,1,1,1,0.95,0.0,0.15,0.75,1.02,2,0,0 days 00:02:52,True
336265,test,1,1,1,1,1,2.33,0.0,0.08,0.58,0.92,1,0,0 days 00:03:55,True
336279,control,1,1,1,1,1,1.7,0.0,0.32,0.97,1.03,1,0,0 days 00:04:01,True
336414,control,1,1,1,1,1,14.93,0.0,0.78,0.25,2.07,1,0,0 days 00:18:02,True
336421,test,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0 days 00:00:00,False
336903,test,0,5,3,3,2,0.0,21385.45,2.77,8.32,5.0,5,3,0 days 00:00:00,False
337421,test,1,1,1,1,1,0.6,0.0,0.3,0.33,1.85,1,0,0 days 00:03:05,True
337729,control,1,1,1,1,1,1.07,0.0,1.6,0.75,2.78,1,0,0 days 00:06:12,True
337878,test,1,1,1,2,2,1.12,0.0,0.68,0.9,0.52,1,1,0 days 00:03:13,True
338164,control,1,4,2,0,1,8.82,8573.85,1.98,0.0,5.07,4,1,5 days 23:09:43,True
338292,test,1,1,1,1,1,1.13,0.0,0.47,0.72,0.67,1,0,0 days 00:02:59,True
338607,test,1,1,1,1,1,2.05,0.0,0.58,0.25,2.85,1,0,0 days 00:05:44,True
338641,control,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0 days 00:00:00,False
338896,control,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,2,0,0 days 00:00:00,False
339004,control,1,1,1,1,1,0.4,0.0,0.18,0.38,2.07,1,0,0 days 00:03:02,True
339258,test,0,2,1,0,0,0.0,0.53,0.33,0.0,0.0,2,1,0 days 00:00:00,False
339396,control,1,1,1,1,1,0.57,0.0,0.22,0.52,0.83,1,0,0 days 00:02:08,True
339684,test,1,5,3,1,1,0.3,89999.67,0.77,0.13,1.88,5,2,62 days 12:02:45,True
340120,control,0,2,1,1,1,0.0,93302.2,0.07,0.12,0.58,2,0,0 days 00:00:00,False
340192,test,2,2,3,2,2,68690.78,835.22,17.42,2.9,0.43,2,2,48 days 07:06:45,True
340426,test,0,4,0,0,0,0.0,8.03,0.0,0.0,0.0,4,0,0 days 00:00:00,False
340480,test,0,3,1,1,1,0.0,1.68,0.08,0.3,1.5,3,1,0 days 00:00:00,False
340534,control,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0 days 00:00:00,False
340947,test,0,5,0,0,0,0.0,3.77,0.0,0.0,0.0,5,0,0 days 00:00:00,False
341102,test,0,3,2,0,0,0.0,0.52,0.4,0.0,0.0,3,2,0 days 00:00:00,False
341409,test,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0 days 00:00:00,False
341429,control,2,1,1,1,1,1235.38,0.0,0.13,0.13,1.4,1,0,0 days 20:37:03,True
341647,test,1,1,2,2,1,2.18,0.0,372.18,1.15,0.7,1,1,0 days 06:16:13,True
341976,test,1,4,2,1,1,2.33,2.15,0.15,0.52,0.77,4,1,0 days 00:05:55,True
342070,test,2,1,1,0,1,48574.72,0.0,2.65,0.0,1.83,1,0,33 days 17:39:12,True
342283,test,1,1,1,1,1,1.7,0.0,0.15,0.45,1.22,1,0,0 days 00:03:31,True
342322,test,2,1,1,1,1,0.92,0.0,0.2,0.37,1.28,1,0,0 days 00:02:46,True
342333,control,1,2,1,1,1,7.53,9941.17,0.4,0.15,3.75,2,0,6 days 21:53:00,True
342341,control,1,1,1,1,1,0.93,0.0,0.13,0.18,3.03,1,0,0 days 00:04:17,True
342517,control,1,3,2,2,3,5.08,38181.9,1.23,8.92,5.68,3,1,26 days 12:42:49,True
342646,control,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0 days 00:00:00,False
342684,control,1,1,1,1,1,1.12,0.0,0.13,0.08,0.77,1,0,0 days 00:02:06,True
342757,test,1,3,1,1,1,0.65,0.53,0.07,0.47,1.53,3,0,0 days 00:03:15,True
343183,control,0,8,1,2,0,0.0,12860.5,2.2,4.77,0.0,8,1,0 days 00:00:00,False
343525,test,0,5,1,0,0,0.0,2.82,0.22,0.0,0.0,5,1,0 days 00:00:00,False
343583,control,1,1,1,1,1,2.37,0.0,0.53,0.62,1.48,1,0,0 days 00:05:00,True
343737,test,0,2,0,0,0,0.0,3.97,0.0,0.0,0.0,2,0,0 days 00:00:00,False
343881,control,1,2,1,1,1,3.7,5743.53,0.98,0.87,0.37,2,1,0 days 00:05:55,True
343906,control,1,1,1,1,1,1.33,0.0,0.42,0.73,1.6,1,0,0 days 00:04:05,True
343935,test,0,5,0,0,0,0.0,21673.9,0.0,0.0,0.0,5,0,0 days 00:00:00,False
344514,test,1,2,2,1,1,0.45,15206.33,0.77,0.23,1.2,2,1,10 days 13:28:59,True
